mnist_train.txt Data Size: 60000
mnist_test.txt Data Size: 10000
iter: 0, error: 0.142974,  recognition rate: 0.156100
iter: 2000, error: 0.056019,  recognition rate: 0.582500
iter: 4000, error: 0.034259,  recognition rate: 0.797000
iter: 6000, error: 0.026603,  recognition rate: 0.849000
iter: 8000, error: 0.026601,  recognition rate: 0.845000
iter: 10000, error: 0.023034,  recognition rate: 0.865200
iter: 12000, error: 0.022885,  recognition rate: 0.861300
iter: 14000, error: 0.033160,  recognition rate: 0.801700
iter: 16000, error: 0.019081,  recognition rate: 0.888200
iter: 18000, error: 0.018097,  recognition rate: 0.891700
iter: 20000, error: 0.018587,  recognition rate: 0.889500
iter: 22000, error: 0.016680,  recognition rate: 0.895900
iter: 24000, error: 0.015009,  recognition rate: 0.909200
iter: 26000, error: 0.017211,  recognition rate: 0.891500
iter: 28000, error: 0.016522,  recognition rate: 0.897200
iter: 30000, error: 0.018436,  recognition rate: 0.887700
iter: 32000, error: 0.015079,  recognition rate: 0.907100
iter: 34000, error: 0.012801,  recognition rate: 0.923200
iter: 36000, error: 0.019561,  recognition rate: 0.879000
iter: 38000, error: 0.014862,  recognition rate: 0.909300
iter: 40000, error: 0.016140,  recognition rate: 0.902500
iter: 42000, error: 0.016813,  recognition rate: 0.899900
iter: 44000, error: 0.014364,  recognition rate: 0.910000
iter: 46000, error: 0.014068,  recognition rate: 0.914000
iter: 48000, error: 0.013826,  recognition rate: 0.917500
iter: 50000, error: 0.012364,  recognition rate: 0.924100
iter: 52000, error: 0.013726,  recognition rate: 0.917000
iter: 54000, error: 0.012130,  recognition rate: 0.924500
iter: 56000, error: 0.014075,  recognition rate: 0.913500
iter: 58000, error: 0.012472,  recognition rate: 0.919000
iter: 60000, error: 0.012500,  recognition rate: 0.920900
Á¾·á
